state,x,y
Andhra Pradesh,-48.0,-135.0
Arunachal Pradesh,188.0,87.0
Assam,158.0,51.0
Bihar,50.0,43.0
Chhattisgarh,-10.0,-32.0
Goa,-132.0,-132.0
Gujarat,-170.0,-6.0
Haryana,-93.0,101.0
Himachal Pradesh,-78.0,151.0
Jharkhand,41.0,7.0
Karnataka,-103.0,-148.0
Kerala,-95.0,-211.0
Madhya Pradesh,-66.0,4.0
Maharashtra,-107.0,-63.0
Manipur,178.0,23.0
Meghalaya,133.0,37.0
Mizoram,160.0,2.0
Nagaland,189.0,47.0
Odisha,32.0,-45.0
Punjab,-109.0,133.0
Rajasthan,-132.0,59.0
Sikkim,95.0,76.0
Tamil Nadu,-61.0,-201.0
Telangana,-52.0,-86.0
Tripura,144.0,5.0
Uttar Pradesh,-30.0,58.0
Uttarakhand,-47.0,116.0
West Bengal,86.0,-5.0


